"var","species","median","qmin","qmax"
"2012","Aeshna_grandis",0.12313,0.02017,0.22983
"2013","Aeshna_grandis",0.37265,0.27088,0.47583
"2014","Aeshna_grandis",0.2256,0.12276,0.32607
"2015","Aeshna_grandis",0.18508,0.08391,0.29153
"2016","Aeshna_grandis",0.03382,-0.05745,0.13235
"2017","Aeshna_grandis",0.15039,0.0465,0.25387
"2018","Aeshna_grandis",-0.1764,-0.26975,-0.07865
"2019","Aeshna_grandis",-0.6034,-0.69995,-0.50482
"2020","Aeshna_grandis",-0.63106,-0.7274,-0.53175
"2021","Aeshna_grandis",-0.80961,-0.91083,-0.69946
"2022","Aeshna_grandis",-0.68746,-0.78983,-0.57895
"2023","Aeshna_grandis",-1.10918,-1.22059,-0.99227
"clc_artificial_prop","Aeshna_grandis",0.55396,0.41426,0.70129
"clc_agriculture_prop","Aeshna_grandis",1.33443,1.12694,1.5486
"clc_forest_prop","Aeshna_grandis",0.73256,0.51761,0.94575
"clc_vegetation_prop","Aeshna_grandis",-2.4964,-2.79521,-2.21694
"clc_bare_prop","Aeshna_grandis",-1.03665,-1.34842,-0.71843
"clc_coastal_wetland_prop","Aeshna_grandis",-0.08096,-0.25092,0.06938
"clc_wetland_prop","Aeshna_grandis",0.89151,0.72315,1.06303
"clc_river_prop","Aeshna_grandis",0.09814,-0.02106,0.21181
"bio10_temp_warmQ_dC","Aeshna_grandis",-10.71719,-11.31429,-10.11666
"bio12_annual_prec_mm","Aeshna_grandis",-1.77663,-2.10013,-1.40555
"bio4_sd_temp","Aeshna_grandis",2.6898,2.37798,3.01522
"bio10_temp_warmQ_dC2","Aeshna_grandis",-3.97088,-4.46953,-3.51875
"bio12_annual_prec_mm2","Aeshna_grandis",0.57826,0.46845,0.69138
"bio4_sd_temp2","Aeshna_grandis",-0.35225,-0.5513,-0.15518
"2000","Aeshna_isoceles",-1.25471,-1.50907,-0.9735
"2001","Aeshna_isoceles",-1.8368,-2.13574,-1.53546
"2002","Aeshna_isoceles",-1.43929,-1.70007,-1.17201
"2003","Aeshna_isoceles",-0.70634,-0.91331,-0.49361
"2004","Aeshna_isoceles",-0.86876,-1.08466,-0.66004
"2005","Aeshna_isoceles",-1.0364,-1.24525,-0.81372
"2006","Aeshna_isoceles",-0.66369,-0.8484,-0.47668
"2007","Aeshna_isoceles",-0.23897,-0.40987,-0.07166
"2008","Aeshna_isoceles",-0.1403,-0.29599,0.01608
"2009","Aeshna_isoceles",0.15481,0.00714,0.29734
"2010","Aeshna_isoceles",0.30978,0.17915,0.44044
"2011","Aeshna_isoceles",0.60877,0.48926,0.71986
"2012","Aeshna_isoceles",0.30324,0.18995,0.41821
"2013","Aeshna_isoceles",0.45262,0.33674,0.56779
"2014","Aeshna_isoceles",0.64314,0.53152,0.75206
"2015","Aeshna_isoceles",0.52101,0.41343,0.63205
"2016","Aeshna_isoceles",0.24548,0.1331,0.36255
"2017","Aeshna_isoceles",0.51275,0.40215,0.62149
"2018","Aeshna_isoceles",0.75993,0.64345,0.8673
"2019","Aeshna_isoceles",0.62988,0.50925,0.75393
"2020","Aeshna_isoceles",0.4865,0.3506,0.61129
"2021","Aeshna_isoceles",0.47299,0.33764,0.59636
"2022","Aeshna_isoceles",0.69388,0.54747,0.82178
"2023","Aeshna_isoceles",0.78734,0.63063,0.92656
"clc_artificial_prop","Aeshna_isoceles",0.54836,0.43822,0.66642
"clc_agriculture_prop","Aeshna_isoceles",-0.33969,-0.49263,-0.18978
"clc_forest_prop","Aeshna_isoceles",-1.28049,-1.46382,-1.09944
"clc_vegetation_prop","Aeshna_isoceles",-0.61176,-0.82112,-0.39263
"clc_bare_prop","Aeshna_isoceles",1.44067,1.15914,1.72833
"clc_coastal_wetland_prop","Aeshna_isoceles",0.03597,-0.08793,0.1589
"clc_wetland_prop","Aeshna_isoceles",0.07862,-0.12764,0.26698
"clc_river_prop","Aeshna_isoceles",0.12908,0.03833,0.21998
"bio10_temp_warmQ_dC","Aeshna_isoceles",2.38611,2.01658,2.71571
"bio12_annual_prec_mm","Aeshna_isoceles",0.14675,-0.11072,0.39557
"bio4_sd_temp","Aeshna_isoceles",0.9368,0.66175,1.17175
"bio10_temp_warmQ_dC2","Aeshna_isoceles",-1.43478,-1.67428,-1.18711
"bio12_annual_prec_mm2","Aeshna_isoceles",0.0763,-0.04387,0.17874
"bio4_sd_temp2","Aeshna_isoceles",-0.9854,-1.1987,-0.78238
"2000","Aeshna_juncea",0.58392,0.39445,0.82472
"2001","Aeshna_juncea",0.83239,0.63755,1.07955
"2002","Aeshna_juncea",0.78379,0.60331,0.98957
"2003","Aeshna_juncea",0.78254,0.60465,1.00681
"2004","Aeshna_juncea",0.34491,0.19335,0.50509
"2005","Aeshna_juncea",0.62175,0.47135,0.80663
"2006","Aeshna_juncea",0.37802,0.25304,0.51664
"2007","Aeshna_juncea",0.37177,0.19462,0.59278
"2008","Aeshna_juncea",0.34878,0.20967,0.53308
"2009","Aeshna_juncea",0.50305,0.40011,0.61546
"2010","Aeshna_juncea",0.36515,0.26032,0.4784
"2011","Aeshna_juncea",0.23229,0.1116,0.39688
"2012","Aeshna_juncea",0.2633,0.14824,0.35829
"2013","Aeshna_juncea",0.34497,0.21923,0.4564
"2014","Aeshna_juncea",0.07672,-0.02952,0.18612
"2015","Aeshna_juncea",0.00659,-0.12185,0.11557
"2016","Aeshna_juncea",-0.08217,-0.20412,0.0243
"2017","Aeshna_juncea",-0.45574,-0.59306,-0.34143
"2018","Aeshna_juncea",-0.37625,-0.49765,-0.23243
"2019","Aeshna_juncea",-0.73407,-0.9658,-0.56317
"2020","Aeshna_juncea",-0.95402,-1.11551,-0.82086
"2021","Aeshna_juncea",-0.91204,-1.14198,-0.72692
"2022","Aeshna_juncea",-0.91983,-1.09147,-0.77851
"2023","Aeshna_juncea",-1.31798,-1.51189,-1.15979
"clc_artificial_prop","Aeshna_juncea",0.09535,0.01165,0.18275
"clc_agriculture_prop","Aeshna_juncea",-0.12573,-0.24757,0.02245
"clc_forest_prop","Aeshna_juncea",0.2386,0.10432,0.40945
"clc_vegetation_prop","Aeshna_juncea",0.39892,0.21633,0.59821
"clc_bare_prop","Aeshna_juncea",-0.63521,-1.10464,-0.29354
"clc_coastal_wetland_prop","Aeshna_juncea",-0.17098,-0.28996,-0.06511
"clc_wetland_prop","Aeshna_juncea",0.34721,0.21673,0.49666
"clc_river_prop","Aeshna_juncea",-0.12712,-0.23885,-0.03056
"bio10_temp_warmQ_dC","Aeshna_juncea",-7.55766,-8.41166,-6.78325
"bio12_annual_prec_mm","Aeshna_juncea",1.23796,1.03457,1.48402
"bio4_sd_temp","Aeshna_juncea",0.96809,0.722,1.27015
"bio10_temp_warmQ_dC2","Aeshna_juncea",1.22461,0.47274,2.05716
"bio12_annual_prec_mm2","Aeshna_juncea",-0.24807,-0.30893,-0.17545
"bio4_sd_temp2","Aeshna_juncea",0.12832,0.01386,0.27984
"2000","Aeshna_mixta",-0.10382,-0.20245,0.21505
"2001","Aeshna_mixta",-0.17189,-0.33268,-0.07582
"2002","Aeshna_mixta",-0.14614,-0.3684,-0.05601
"2003","Aeshna_mixta",0.02438,-0.05158,0.24137
"2004","Aeshna_mixta",0.04381,-0.1176,0.12089
"2005","Aeshna_mixta",-0.04232,-0.16193,0.03412
"2006","Aeshna_mixta",0.03553,-0.03169,0.21427
"2007","Aeshna_mixta",-0.07688,-0.13566,0.15432
"2008","Aeshna_mixta",-0.18746,-0.41145,-0.12659
"2009","Aeshna_mixta",-0.1115,-0.23749,-0.05688
"2010","Aeshna_mixta",0.06394,-0.05327,0.11075
"2011","Aeshna_mixta",-0.13117,-0.17611,-0.05961
"2012","Aeshna_mixta",0.09556,-0.06451,0.14173
"2013","Aeshna_mixta",0.25544,0.16711,0.29993
"2014","Aeshna_mixta",0.11232,0.06947,0.24441
"2015","Aeshna_mixta",-0.03565,-0.12819,0.00854
"2016","Aeshna_mixta",0.22612,0.15977,0.26809
"2017","Aeshna_mixta",0.06116,0.01576,0.1165
"2018","Aeshna_mixta",0.16144,0.11927,0.37633
"2019","Aeshna_mixta",0.00088,-0.12187,0.04539
"2020","Aeshna_mixta",-0.12715,-0.23064,-0.08335
"2021","Aeshna_mixta",0.14601,0.008,0.18773
"2022","Aeshna_mixta",-0.05085,-0.1065,-0.00176
"2023","Aeshna_mixta",0.00693,-0.05669,0.05136
"clc_artificial_prop","Aeshna_mixta",0.2624,0.23255,0.45802
"clc_agriculture_prop","Aeshna_mixta",0.15458,0.1111,0.3304
"clc_forest_prop","Aeshna_mixta",-0.40329,-0.78882,-0.34908
"clc_vegetation_prop","Aeshna_mixta",-0.27213,-0.50198,-0.2128
"clc_bare_prop","Aeshna_mixta",0.24047,0.15493,0.39414
"clc_coastal_wetland_prop","Aeshna_mixta",0.17065,0.13501,0.28995
"clc_wetland_prop","Aeshna_mixta",-0.1584,-0.25583,-0.10638
"clc_river_prop","Aeshna_mixta",0.01994,-0.01169,0.15292
"bio10_temp_warmQ_dC","Aeshna_mixta",0.17978,0.07145,0.27144
"bio12_annual_prec_mm","Aeshna_mixta",-0.51312,-0.94177,-0.4354
"bio4_sd_temp","Aeshna_mixta",-0.34518,-0.67203,-0.26843
"bio10_temp_warmQ_dC2","Aeshna_mixta",-0.47648,-0.9363,-0.40893
"bio12_annual_prec_mm2","Aeshna_mixta",0.05848,0.02103,0.12958
"bio4_sd_temp2","Aeshna_mixta",-0.2597,-0.64681,-0.20506
"2000","Aeshna_serrata",-2.72786,-7.01038,0.33145
"2001","Aeshna_serrata",-1.59408,-4.74758,0.85878
"2002","Aeshna_serrata",-1.8879,-5.27539,0.82773
"2003","Aeshna_serrata",0.18488,-2.37887,2.2274
"2004","Aeshna_serrata",0.70205,-1.3853,2.48465
"2005","Aeshna_serrata",-0.09336,-2.21493,1.74695
"2006","Aeshna_serrata",0.56704,-0.60756,1.61185
"2007","Aeshna_serrata",0.97299,0.13471,1.82257
"2008","Aeshna_serrata",1.04903,0.17496,1.93956
"2009","Aeshna_serrata",0.55894,-0.18218,1.32055
"2010","Aeshna_serrata",0.9704,0.17243,1.74985
"2011","Aeshna_serrata",1.18386,0.41685,1.9493
"2012","Aeshna_serrata",1.17054,0.46725,1.87306
"2013","Aeshna_serrata",1.36992,0.65129,2.08296
"2014","Aeshna_serrata",0.19436,-0.824,1.11347
"2015","Aeshna_serrata",-0.1468,-1.10771,0.78431
"2016","Aeshna_serrata",0.50421,-0.32269,1.28715
"2017","Aeshna_serrata",0.73664,-0.02003,1.52556
"2018","Aeshna_serrata",0.66158,-0.07705,1.37124
"2019","Aeshna_serrata",0.21605,-0.47652,0.89436
"2020","Aeshna_serrata",-0.37536,-1.09385,0.32813
"2021","Aeshna_serrata",-0.4608,-1.10853,0.2175
"2022","Aeshna_serrata",-0.48452,-1.19504,0.18027
"2023","Aeshna_serrata",-1.4067,-2.37472,-0.55997
"clc_artificial_prop","Aeshna_serrata",0.49446,0.13487,0.89479
"clc_agriculture_prop","Aeshna_serrata",-0.47855,-1.18331,0.32564
"clc_forest_prop","Aeshna_serrata",0.06013,-0.4763,0.65357
"clc_vegetation_prop","Aeshna_serrata",0.28249,-0.90007,1.37409
"clc_bare_prop","Aeshna_serrata",-0.51763,-2.23166,0.62833
"clc_coastal_wetland_prop","Aeshna_serrata",0.85008,0.30793,1.30034
"clc_wetland_prop","Aeshna_serrata",0.20315,-0.15486,0.55866
"clc_river_prop","Aeshna_serrata",-0.78408,-1.72101,-0.06204
"bio10_temp_warmQ_dC","Aeshna_serrata",-9.67808,-12.60679,-6.82971
"bio12_annual_prec_mm","Aeshna_serrata",-6.02043,-7.71303,-4.69136
"bio4_sd_temp","Aeshna_serrata",6.53534,4.82612,8.40166
"bio10_temp_warmQ_dC2","Aeshna_serrata",-7.8149,-10.92183,-5.09821
"bio12_annual_prec_mm2","Aeshna_serrata",0.68771,-0.49332,1.18452
"bio4_sd_temp2","Aeshna_serrata",-4.50803,-5.74686,-3.33008
"2000","Aeshna_subarctica",-0.26733,-0.9804,0.47058
"2001","Aeshna_subarctica",0.03474,-0.67317,0.68351
"2002","Aeshna_subarctica",0.53154,-0.10223,1.2214
"2003","Aeshna_subarctica",-0.04236,-0.6915,0.64667
"2004","Aeshna_subarctica",0.03047,-0.55916,0.56668
"2005","Aeshna_subarctica",0.58181,0.10822,1.11059
"2006","Aeshna_subarctica",0.5884,0.15935,1.09648
"2007","Aeshna_subarctica",-0.03611,-0.48025,0.4524
"2008","Aeshna_subarctica",0.36047,-0.03009,0.82917
"2009","Aeshna_subarctica",0.49235,0.18079,0.84288
"2010","Aeshna_subarctica",0.50727,0.18753,0.8565
"2011","Aeshna_subarctica",0.01559,-0.29952,0.40667
"2012","Aeshna_subarctica",0.14193,-0.28982,0.49333
"2013","Aeshna_subarctica",0.40015,0.08496,0.70685
"2014","Aeshna_subarctica",0.24929,-0.09875,0.62286
"2015","Aeshna_subarctica",0.61434,0.3135,0.92045
"2016","Aeshna_subarctica",0.21459,-0.13646,0.51918
"2017","Aeshna_subarctica",-0.28347,-0.68245,0.05919
"2018","Aeshna_subarctica",-0.08011,-0.38108,0.30286
"2019","Aeshna_subarctica",-0.77074,-1.24866,-0.36316
"2020","Aeshna_subarctica",-0.13371,-0.44348,0.16542
"2021","Aeshna_subarctica",-0.77518,-1.16969,-0.42323
"2022","Aeshna_subarctica",-0.67464,-1.05209,-0.30705
"2023","Aeshna_subarctica",-1.07411,-1.54522,-0.69775
"clc_artificial_prop","Aeshna_subarctica",-0.00327,-0.32669,0.32906
"clc_agriculture_prop","Aeshna_subarctica",1.29488,0.7601,1.94502
"clc_forest_prop","Aeshna_subarctica",1.29864,0.83379,1.95808
"clc_vegetation_prop","Aeshna_subarctica",-1.21765,-1.99903,-0.6178
"clc_bare_prop","Aeshna_subarctica",-1.23784,-1.90163,-0.72425
"clc_coastal_wetland_prop","Aeshna_subarctica",-0.55658,-1.6238,0.20643
"clc_wetland_prop","Aeshna_subarctica",0.63539,0.31581,1.04857
"clc_river_prop","Aeshna_subarctica",-0.16182,-0.48483,0.10475
"bio10_temp_warmQ_dC","Aeshna_subarctica",-7.90956,-9.86814,-6.38691
"bio12_annual_prec_mm","Aeshna_subarctica",0.47995,0.00238,0.91277
"bio4_sd_temp","Aeshna_subarctica",3.44778,2.77099,4.39264
"bio10_temp_warmQ_dC2","Aeshna_subarctica",-1.1659,-1.99478,-0.30075
"bio12_annual_prec_mm2","Aeshna_subarctica",0.03191,-0.09062,0.17481
"bio4_sd_temp2","Aeshna_subarctica",-0.93285,-1.31512,-0.61579
"2000","Aeshna_viridis",-0.23106,-0.91599,0.42417
"2001","Aeshna_viridis",-0.32694,-0.94057,0.33184
"2002","Aeshna_viridis",-0.20494,-0.84951,0.39387
"2003","Aeshna_viridis",-0.54869,-1.14042,0.04238
"2004","Aeshna_viridis",0.73201,0.27875,1.21321
"2005","Aeshna_viridis",0.20723,-0.24099,0.70315
"2006","Aeshna_viridis",0.13768,-0.30161,0.55818
"2007","Aeshna_viridis",-0.08211,-0.46993,0.30097
"2008","Aeshna_viridis",0.37646,-0.00508,0.75585
"2009","Aeshna_viridis",-0.28796,-0.63368,0.05517
"2010","Aeshna_viridis",-0.07799,-0.41133,0.25858
"2011","Aeshna_viridis",0.84015,0.53133,1.14973
"2012","Aeshna_viridis",0.68334,0.36763,1.01256
"2013","Aeshna_viridis",0.38822,0.07775,0.71437
"2014","Aeshna_viridis",0.91299,0.56833,1.2522
"2015","Aeshna_viridis",0.33629,0.00669,0.66564
"2016","Aeshna_viridis",0.48103,0.1207,0.82749
"2017","Aeshna_viridis",0.37048,0.02677,0.71418
"2018","Aeshna_viridis",0.26646,-0.05777,0.58936
"2019","Aeshna_viridis",0.63276,0.33858,0.97977
"2020","Aeshna_viridis",-0.8868,-1.2685,-0.54082
"2021","Aeshna_viridis",-0.70823,-1.07061,-0.38176
"2022","Aeshna_viridis",-0.87142,-1.24338,-0.51763
"2023","Aeshna_viridis",-1.03218,-1.42673,-0.65308
"clc_artificial_prop","Aeshna_viridis",0.25381,-0.0104,0.517
"clc_agriculture_prop","Aeshna_viridis",0.66141,0.27026,1.10304
"clc_forest_prop","Aeshna_viridis",-1.7476,-2.19118,-1.29608
"clc_vegetation_prop","Aeshna_viridis",0.24692,-0.58767,1.10781
"clc_bare_prop","Aeshna_viridis",-0.35179,-1.61376,0.64785
"clc_coastal_wetland_prop","Aeshna_viridis",0.37378,0.11416,0.61999
"clc_wetland_prop","Aeshna_viridis",0.52504,0.22712,0.83757
"clc_river_prop","Aeshna_viridis",0.07643,-0.14221,0.24731
"bio10_temp_warmQ_dC","Aeshna_viridis",-11.03306,-12.98638,-9.29686
"bio12_annual_prec_mm","Aeshna_viridis",-4.03274,-5.59971,-2.63908
"bio4_sd_temp","Aeshna_viridis",3.52845,2.78395,4.30328
"bio10_temp_warmQ_dC2","Aeshna_viridis",-10.16097,-12.30919,-8.16601
"bio12_annual_prec_mm2","Aeshna_viridis",-4.21112,-6.23006,-2.41485
"bio4_sd_temp2","Aeshna_viridis",-2.50244,-2.99585,-2.06135
"2000","Anax_ephippiger",0.05374,-0.33935,0.42015
"2001","Anax_ephippiger",-1.35961,-1.98909,-0.81002
"2002","Anax_ephippiger",-1.20417,-1.74386,-0.66937
"2003","Anax_ephippiger",-0.8973,-1.37354,-0.44163
"2004","Anax_ephippiger",-0.94509,-1.36946,-0.51716
"2005","Anax_ephippiger",-1.16357,-1.61122,-0.72984
"2006","Anax_ephippiger",-0.90379,-1.30692,-0.54188
"2007","Anax_ephippiger",-0.36032,-0.65808,-0.08404
"2008","Anax_ephippiger",0.01794,-0.23666,0.26781
"2009","Anax_ephippiger",-0.19477,-0.45849,0.05855
"2010","Anax_ephippiger",-0.49314,-0.75985,-0.25534
"2011","Anax_ephippiger",1.90045,1.76896,2.03134
"2012","Anax_ephippiger",-0.43778,-0.65073,-0.22651
"2013","Anax_ephippiger",0.32748,0.16014,0.49151
"2014","Anax_ephippiger",-0.09596,-0.28474,0.09563
"2015","Anax_ephippiger",0.22131,0.06637,0.37571
"2016","Anax_ephippiger",0.35098,0.20322,0.50575
"2017","Anax_ephippiger",0.712,0.5701,0.83793
"2018","Anax_ephippiger",0.23259,0.07637,0.37328
"2019","Anax_ephippiger",1.93231,1.8147,2.04408
"2020","Anax_ephippiger",0.10457,-0.04016,0.24692
"2021","Anax_ephippiger",0.54691,0.41341,0.68504
"2022","Anax_ephippiger",-0.02474,-0.18559,0.13252
"2023","Anax_ephippiger",1.87955,1.74576,2.06061
"clc_artificial_prop","Anax_ephippiger",-0.00347,-0.05863,0.04916
"clc_agriculture_prop","Anax_ephippiger",-0.40475,-0.49531,-0.3239
"clc_forest_prop","Anax_ephippiger",-0.35851,-0.45645,-0.26464
"clc_vegetation_prop","Anax_ephippiger",0.19447,0.10065,0.29468
"clc_bare_prop","Anax_ephippiger",0.69096,0.54083,0.86093
"clc_coastal_wetland_prop","Anax_ephippiger",0.12174,0.07273,0.17336
"clc_wetland_prop","Anax_ephippiger",-0.28025,-0.41172,-0.15343
"clc_river_prop","Anax_ephippiger",0.03824,-0.00157,0.07887
"bio10_temp_warmQ_dC","Anax_ephippiger",2.44153,2.2497,2.64658
